id_cliente,pago,grupo_score
1,1,1
2,0,6
3,1,2
4,1,1
5,0,2
6,1,6
7,0,7
8,1,6
9,1,1
10,0,7
11,0,1
12,1,2
13,1,7
14,1,2
15,1,2
16,1,4
17,1,4
18,1,7
19,0,3
20,0,2
21,1,4
22,1,4
23,1,4
24,1,2
25,1,2
26,1,7
27,0,5
28,1,1
29,0,6
30,1,2
31,1,5
32,1,4
33,1,3
34,1,5
35,1,1
36,1,6
37,1,1
38,0,3
39,1,1
40,0,9
41,1,1
42,1,1
43,1,7
44,1,2
45,1,1
46,1,7
47,1,3
48,1,1
49,1,1
50,1,6
51,1,2
52,1,5
53,0,1
54,0,1
55,1,2
56,0,1
57,1,3
58,1,1
59,1,1
60,0,1
61,0,1
62,1,2
63,0,2
64,0,1
65,0,8
66,1,5
67,0,2
68,1,2
69,0,5
70,1,1
71,0,7
72,1,1
73,1,2
74,1,1
75,1,1
76,1,3
77,0,3
78,1,4
79,1,6
80,1,7
81,1,2
82,1,4
83,0,7
84,1,3
85,0,1
86,0,2
87,1,1
88,1,2
89,0,5
90,1,2
91,1,5
92,1,3
93,1,1
94,0,1
95,1,1
96,1,6
97,0,1
98,1,1
99,1,4
100,0,1
101,1,3
102,1,6
103,1,6
104,1,1
105,1,1
106,1,8
107,1,1
108,1,4
109,1,1
110,1,6
111,1,5
112,1,8
113,1,4
114,1,2
115,1,5
116,1,2
117,1,3
118,1,2
119,1,1
120,0,8
121,1,3
122,0,2
123,1,7
124,0,3
125,0,4
126,1,7
127,0,2
128,1,5
129,0,3
130,1,7
131,0,2
132,1,2
133,0,2
134,1,1
135,1,1
136,1,6
137,1,2
138,1,4
139,1,7
140,1,5
141,1,4
142,1,1
143,1,2
144,1,6
145,1,4
146,1,2
147,0,1
148,0,7
149,1,7
150,1,4
151,0,1
152,1,1
153,1,2
154,1,1
155,1,6
156,0,5
157,0,1
158,1,7
159,0,3
160,1,6
161,0,2
162,0,7
163,1,2
164,0,8
165,1,7
166,1,6
167,1,4
168,1,2
169,1,1
170,0,5
171,1,3
172,0,8
173,0,2
174,1,1
175,1,2
176,0,2
177,1,4
178,1,1
179,1,2
180,0,4
181,1,1
182,1,8
183,0,1
184,0,1
185,1,1
186,1,1
187,1,7
188,0,2
189,1,2
190,1,1
191,1,1
192,0,5
193,0,2
194,0,1
195,0,2
196,0,1
197,1,7
198,1,8
199,0,1
200,0,5
201,1,3
202,1,6
203,0,4
204,0,6
205,1,2
206,0,2
207,0,2
208,1,6
209,1,7
210,1,6
211,1,8
212,1,7
213,1,4
214,0,7
215,0,2
216,1,1
217,1,4
218,0,9
219,1,1
220,0,5
221,1,7
222,1,5
223,0,2
224,0,1
225,1,1
226,1,1
227,0,1
228,0,3
229,0,3
230,0,1
231,0,4
232,1,2
233,1,6
234,0,9
235,1,7
236,1,2
237,0,1
238,1,1
239,1,5
240,0,2
241,0,2
242,0,5
243,1,1
244,1,2
245,1,2
246,1,1
247,1,2
248,1,2
249,1,2
250,1,8
251,1,7
252,1,3
253,0,2
254,1,1
255,0,4
256,1,4
257,1,2
258,1,7
259,1,7
260,1,2
261,0,5
262,1,8
263,1,1
264,0,1
265,1,8
266,1,1
267,1,7
268,0,1
269,0,2
270,1,2
271,1,2
272,1,5
273,1,1
274,1,2
275,1,8
276,1,3
277,1,6
278,0,2
279,1,7
280,1,2
281,1,1
282,1,1
283,0,7
284,1,2
285,1,2
286,1,5
287,0,2
288,1,3
289,0,1
290,1,1
291,1,1
292,1,2
293,1,1
294,1,2
295,1,1
296,1,1
297,1,1
298,1,1
299,0,2
300,0,2
301,1,7
302,1,1
303,1,7
304,1,2
305,0,1
306,1,1
